phone_brand,phone_price,phone_category,phone_id,phone_name,phone_color,phone_memory,installments_amount,installments_period
TECNO,999,SMRTPHN,100091351,Tecno Phantom 8, Champagne Gold,64GB,27, 36 months
TECNO,999,SMRTPHN,100091352,Tecno Phantom 8, Blue,64GB,27, 36 months
TECNO,999,SMRTPHN,100091353,Tecno Phantom 8, Black,64GB,27, 36 months
NOKIA,899,SMRTPHN,100036870,Nokia 6.1 Plus, Black,64GB,24, 36 months
OPPO,2599,SMRTPHN,100065743,OPPO R17 Pro, Radiant Mist,128GB,72, 36 months
SAMSUNG,4499,SMRTPHN,100062734,Samsung Galaxy S10 Plus, Ceramic Black,512 GB,149, 36 months
SAMSUNG,4499,SMRTPHN,100062738,Samsung Galaxy S10 Plus, Ceramic White,512 GB,149, 36 months
NOKIA,284,SMRTPHN,100025944,Nokia 1, Dark Blue,8GB,10, 36 months
NOKIA,420,SMRTPHN,100033167,Nokia 3.1 TA-1049, Black,16GB,15, 36 months
APPLE,2499,SMRTPHN,00192426,Apple iPhone 7 Plus, Silver,32GB,86, 36 months
APPLE,2499,SMRTPHN,00192428,Apple iPhone 7 Plus, Gold,32GB,86, 36 months
SAMSUNG,3099,SMRTPHN,100062744,Samsung Galaxy S10, White,128 GB,110, 36 months
SAMSUNG,3099,SMRTPHN,100062743,Samsung Galaxy S10, Black,128 GB,110, 36 months
APPLE,2399,SMRTPHN,00192401,Apple iPhone 7, Rose Gold,128GB,86, 36 months
APPLE,2399,SMRTPHN,00192388,Apple iPhone 7, Black,128GB,86, 36 months
APPLE,2399,SMRTPHN,00192390,iPhone 7 , Gold,128GB,86, 36 months
APPLE,2899,SMRTPHN,00192402,Apple iPhone 7 Plus, Black,128GB,106, 36 months
APPLE,2899,SMRTPHN,100093942,Apple iPhone 8, Silver,128GB,106, 36 months
APPLE,2599,SMRTPHN,100011339,Apple iPhone 8, Gold,64GB,96, 36 months
SAMSUNG,2599,SMRTPHN,100062745,Samsung Galaxy S10 e, White,128 GB,96, 36 months
APPLE,2599,SMRTPHN,100011337,Apple iPhone 8, Space Gray,64GB,96, 36 months
APPLE,2599,SMRTPHN,100011338,Apple iPhone 8, Silver,64GB,96, 36 months
APPLE,2999,SMRTPHN,100011232,Apple iPhone 8 Plus, Silver,64GB,113, 36 months
APPLE,2999,SMRTPHN,100011233,Apple iPhone 8 Plus , Gold,64GB,113, 36 months
APPLE,2999,SMRTPHN,100011231,Apple iPhone 8 Plus , Space Gray,64GB,113, 36 months
HUAWEI,939,SMRTPHN,100039253,Huawei Y9 2019, Black,64GB,36, 36 months
LENOVO,549,SMRTPHN,100062677,Lenovo K5 Play, Black,32GB,21, 36 months
LENOVO,699,SMRTPHN,100062683,Lenovo S5, Black,64GB,27, 36 months
HUAWEI,2499,SMRTPHN,100068138,Huawei P30, Aurora,128GB,96, 36 months
HONOR,749,SMRTPHN,100050577,Honor 10 Lite, Midnight Black,64GB,29, 36 months
HONOR,749,SMRTPHN,100050579,Honor 10 Lite, Sky Blue,64GB,29, 36 months
HONOR,749,SMRTPHN,100050578,Honor 10 Lite, Sapphire Blue,64GB,29, 36 months
SAMSUNG,3599,SMRTPHN,100071551,Samsung Galaxy S10 Plus, Blue,128 GB,139, 36 months
SAMSUNG,3599,SMRTPHN,100062741,Samsung Galaxy S10 Plus, Black,128 GB,139, 36 months
SAMSUNG,3599,SMRTPHN,100062740,Samsung Galaxy S10 Plus, Green,128 GB,139, 36 months
SAMSUNG,3599,SMRTPHN,100062742,Samsung Galaxy S10 Plus, White,128 GB,139, 36 months
APPLE,1849,SMRTPHN,00193189,Apple iPhone 6s Plus, Space Grey,32GB,72, 36 months
APPLE,3299,SMRTPHN,100041438,Apple iPhone XR, Coral,64GB,129, 36 months
APPLE,3299,SMRTPHN,100041434,Apple iPhone XR, White,64GB,129, 36 months
APPLE,3299,SMRTPHN,100041543,Apple iPhone XR, Blue,64GB,129, 36 months
APPLE,3299,SMRTPHN,100041437,Apple iPhone XR, Yellow,64GB,129, 36 months
APPLE,3299,SMRTPHN,100041435,Apple iPhone XR, Red,64GB,129, 36 months
APPLE,3299,SMRTPHN,100041277,Apple iPhone XR, Black,64GB,129, 36 months
APPLE,1949,SMRTPHN,00192411,Apple iPhone 7, Gold,32GB,77, 36 months
APPLE,1949,SMRTPHN,00192415,Apple iPhone 7, Rose Gold,32GB,77, 36 months
APPLE,1949,SMRTPHN,00192416,Apple iPhone 7, Black,32GB,77, 36 months
LENOVO,399,SMRTPHN,100062689,Lenovo A5s, Black,16GB,16, 36 months
LENOVO,399,SMRTPHN,100062694,Lenovo A5s, Blue,16GB,16, 36 months
LENOVO,399,SMRTPHN,100062697,Lenovo A5s, Gradient Blue,16GB,16, 36 months
APPLE,3499,SMRTPHN,100041545,Apple iPhone XR, White,128GB,139, 36 months
APPLE,3499,SMRTPHN,100041546,Apple iPhone XR, Yellow,128GB,139, 36 months
APPLE,3499,SMRTPHN,100041550,Apple iPhone XR, Blue,128GB,139, 36 months
APPLE,3499,SMRTPHN,100041548,Apple iPhone XR, Red,128GB,139, 36 months
APPLE,3499,SMRTPHN,100041549,Apple iPhone XR, Coral,128GB,139, 36 months
APPLE,3499,SMRTPHN,100041544,Apple iPhone XR, Black,128GB,139, 36 months
APPLE,1499,SMRTPHN,00193194,Apple iPhone 6s 32GB, Gold,32GB,60, 36 months
APPLE,1499,SMRTPHN,00193195,Apple iPhone 6s 32GB, Silver,32GB,60, 36 months
APPLE,1499,SMRTPHN,00193172,Apple iPhone 6s 32GB, Space Grey,32GB,60, 36 months
APPLE,1499,SMRTPHN,00193196,Apple iPhone 6s 32GB, Rose Gold,32GB,60, 36 months
APPLE,3949,SMRTPHN,100041556,Apple iPhone XR, Coral,256GB,158, 36 months
APPLE,3949,SMRTPHN,100041557,Apple iPhone XR, Blue,256GB,158, 36 months
APPLE,3949,SMRTPHN,100041554,Apple iPhone XR, Red,256GB,158, 36 months
APPLE,3949,SMRTPHN,100041551,Apple iPhone XR, Black,256GB,158, 36 months
APPLE,4499,SMRTPHN,100038351,iPhone XS, Gold,256GB,182, 36 months
TECNO,649,SMRTPHN,100080639,Tecno CF7  Camon 11,  Aqua Blue,32GB,27, 36 months
TECNO,649,SMRTPHN,100080640,Tecno Camon 11, Bordeaux Red,32GB,27, 36 months
HONOR,999,SMRTPHN,100068639,Honor 10i, Midnight Black,128GB,41, 36 months
HONOR,999,SMRTPHN,100067041,Honor 10i, Red,128GB,41, 36 months
HONOR,399,SMRTPHN,100070974,Honor 8S, Black,32GB,17, 36 months
HONOR,399,SMRTPHN,100070977,Honor 8S, Blue,32GB,17, 36 months
HONOR,999,SMRTPHN,100067039,Honor 10i, Blue,128GB,41, 36 months
SAMSUNG,359,SMRTPHN,100049541,Samsung Galaxy J2 Core 2018, Violet,8GB,15, 36 months
NOKIA,299,SMRTPHN,100071548,Nokia 1 Plus 2019, Red,8GB,13, 36 months
NOKIA,299,SMRTPHN,100071547,Nokia 1 Plus 2019, Blue,8GB,13, 36 months
NOKIA,299,SMRTPHN,100071546,Nokia 1 Plus 2019, Black,8GB,13, 36 months
APPLE,4499,SMRTPHN,100038339,iPhone XS Max, Silver,64GB,187, 36 months
APPLE,4499,SMRTPHN,100038340,iPhone XS Max, Gold,64GB,187, 36 months
APPLE,4499,SMRTPHN,100038338,Apple iPhone XS Max, Space Grey,64GB,187, 36 months
HUAWEI,379,SMRTPHN,100082147,Huawei Y5 Lite, Modern Black,16GB,16, 36 months
HUAWEI,379,SMRTPHN,100043946,Huawei Y5 Lite, Blue,16GB,16, 36 months
NOKIA,2299,SMRTPHN,100065246,Nokia 9 PureView, Blue,128GB,96, 36 months
OPPO,1199,SMRTPHN,100074877,OPPO f11,  Marble Green,64GB,51, 36 months
HUAWEI,719,SMRTPHN,100070462,Huawei Y7 Prime 2019, Aurora Blue,64GB,31, 36 months
HUAWEI,719,SMRTPHN,100073476,Huawei Y7 Prime 2019, Amber Brown,64GB,31, 36 months
HUAWEI,3399,SMRTPHN,100068136,Huawei P30 Pro, Aurora,256GB,144, 36 months
HUAWEI,3399,SMRTPHN,100068134,Huawei P30 Pro, Black,256GB,144, 36 months
HUAWEI,3399,SMRTPHN,100068135,Huawei P30 Pro, Breathing Crystal,256GB,144, 36 months
SAMSUNG,3499,SMRTPHN,100086941,Samsung Galaxy Note 10, Aura Glow,256GB,149, 36 months
SAMSUNG,3499,SMRTPHN,100085309,Samsung Galaxy Note 10, Aura Black,256GB,149, 36 months
NOKIA,899,SMRTPHN,100086413,Nokia 6.2 TA-1198, Black,128GB,39, 36 months
LENOVO,494,SMRTPHN,100062681,Lenovo K5 Play, Blue,32GB,21, 36 months
MOTOROLA,449,SMRTPHN,100060536,Motorola E5 Plus 2019, Gray,32GB,20, 36 months
APPLE,4499,SMRTPHN,100038350,iPhone XS, Silver,256GB,192, 36 months
APPLE,4499,SMRTPHN,100038349,iPhone XS, Space Grey,256GB,192, 36 months
HUAWEI,449,SMRTPHN,100071249,Huawei Y5 2019, Modern Black,32GB,20, 36 months
HUAWEI,449,SMRTPHN,100071251,Huawei Y5 2019, Amber Brown,32GB,20, 36 months
APPLE,5499,SMRTPHN,100038357,iPhone XS Max, Gold,512GB,235, 36 months
APPLE,5499,SMRTPHN,100038344,iPhone XS Max, Space Grey,512GB,235, 36 months
APPLE,5499,SMRTPHN,100038345,iPhone XS Max, Silver,512GB,235, 36 months
APPLE,3899,SMRTPHN,100038347,iPhone XS, Silver,64GB,168, 36 months
APPLE,3899,SMRTPHN,100038348,iPhone XS, Gold,64GB,168, 36 months
APPLE,3899,SMRTPHN,100038356,iPhone XS, Space Grey,64GB,168, 36 months
HUAWEI,666,SMRTPHN,100060353,Huawei Y7 prime 2019, Red,32GB,29, 36 months
HUAWEI,666,SMRTPHN,100060354,Huawei Y7 prime 2019, Black,32GB,29, 36 months
HUAWEI,666,SMRTPHN,100060351,Huawei Y7 prime 2019, Blue,32GB,29, 36 months
ALCATEL,299,SMRTPHN,100071436,Alcatel 1X 5008U 2019, Pebble Blue,16GB,13, 36 months
HONOR,499,SMRTPHN,100058244,Honor 8A, Black,32GB,22, 36 months
APPLE,4999,SMRTPHN,100038342,iPhone XS Max, Silver,256GB,215, 36 months
SAMSUNG,3999,SMRTPHN,100085310,Samsung Galaxy Note 10 Plus, Aura Black,256GB,172, 36 months
APPLE,4999,SMRTPHN,100038343,iPhone XS Max, Gold,256GB,215, 36 months
SAMSUNG,3999,SMRTPHN,100085322,Samsung Galaxy Note 10 Plus, Aura White,256GB,172, 36 months
SAMSUNG,3999,SMRTPHN,100085319,Samsung Galaxy Note 10 Plus, Aura Glow,256GB,172, 36 months
HONOR,499,SMRTPHN,100058245,Honor 8A, Blue,32GB,22, 36 months
APPLE,4999,SMRTPHN,100038341,iPhone XS Max, Space Grey,256GB,215, 36 months
SAMSUNG,4499,SMRTPHN,100085323,Samsung Galaxy Note 10 Plus, Aura White,512GB,196, 36 months
SAMSUNG,4499,SMRTPHN,100085326,Samsung Galaxy Note 10 Plus, Aura Glow,512GB,196, 36 months
SAMSUNG,4499,SMRTPHN,100085325,Samsung Galaxy Note 10 Plus, Aura Black,512GB,196, 36 months
APPLE,5099,SMRTPHN,100038353,iPhone XS, Space Grey,512GB,225, 36 months
APPLE,5099,SMRTPHN,100038355,iPhone XS, Gold,512GB,225, 36 months
