Brand,Quarter,Market Share
Huawei,Q1 '10,0
Huawei,Q2 '10,0
Huawei,Q3 '10,0
Huawei,Q4 '10,0
Huawei,Q1 '11,0
Huawei,Q2 '11,0
Huawei,Q3 '11,0
Huawei,Q4 '11,3.5
Huawei,Q1 '12,3.3
Huawei,Q2 '12,4.1
Huawei,Q3 '12,3.8
Huawei,Q4 '12,4.6
Huawei,Q1 '13,4.3
Huawei,Q2 '13,4.3
Huawei,Q3 '13,4.8
Huawei,Q4 '13,5.66
Huawei,Q1 '14,4.7
Huawei,Q2 '14,6.7
Huawei,Q3 '14,5
Huawei,Q4 '14,6.3
Huawei,Q1 '15,5.2
Huawei,Q2 '15,8.6
Huawei,Q3 '15,7.6
Huawei,Q4 '15,8.2
Huawei,Q1 '16,8.4
Huawei,Q2 '16,9.3
Huawei,Q3 '16,9.3
Huawei,Q4 '16,10.5
Huawei,Q1 '17,10
Huawei,Q2 '17,11
Huawei,Q3 '17,10.4
Huawei,Q4 '17,10.7
Huawei,Q1 '18,11.8
Huawei,Q2 '18,15.9
Huawei,Q3 '18,14.6
Huawei,Q4 '18,16.1
Huawei,Q1 '19,19
Huawei,Q2 '19,17.6
Xiaomi,Q4 '09,0
Xiaomi,Q1 '10,0
Xiaomi,Q2 '10,0
Xiaomi,Q3 '10,0
Xiaomi,Q4 '10,0
Xiaomi,Q1 '11,0
Xiaomi,Q2 '11,0
Xiaomi,Q3 '11,0
Xiaomi,Q4 '11,0
Xiaomi,Q1 '12,0
Xiaomi,Q2 '12,0
Xiaomi,Q3 '12,0
Xiaomi,Q4 '12,0
Xiaomi,Q1 '13,0
Xiaomi,Q2 '13,0
Xiaomi,Q3 '13,2.1
Xiaomi,Q4 '13,2.03
Xiaomi,Q1 '14,0
Xiaomi,Q2 '14,4.6
Xiaomi,Q3 '14,5.2
Xiaomi,Q4 '14,4.4
Xiaomi,Q1 '15,0
Xiaomi,Q2 '15,5.3
Xiaomi,Q3 '15,5.2
Xiaomi,Q4 '15,4.6
Xiaomi,Q1 '16,0
Xiaomi,Q2 '16,3.9
Xiaomi,Q3 '16,3.7
Xiaomi,Q4 '16,3.3
Xiaomi,Q1 '17,4.3
Xiaomi,Q2 '17,6.2
Xiaomi,Q3 '17,7.5
Xiaomi,Q4 '17,7.1
Xiaomi,Q1 '18,8.4
Xiaomi,Q2 '18,9.5
Xiaomi,Q3 '18,9.7
Xiaomi,Q4 '18,7.6
Xiaomi,Q1 '19,8
Xiaomi,Q2 '19,9.7
OPPO,Q4 '09,0
OPPO,Q1 '10,0
OPPO,Q2 '10,0
OPPO,Q3 '10,0
OPPO,Q4 '10,0
OPPO,Q1 '11,0
OPPO,Q2 '11,0
OPPO,Q3 '11,0
OPPO,Q4 '11,0
OPPO,Q1 '12,0
OPPO,Q2 '12,0
OPPO,Q3 '12,0
OPPO,Q4 '12,0
OPPO,Q1 '13,0
OPPO,Q2 '13,0
OPPO,Q3 '13,0
OPPO,Q4 '13,0
OPPO,Q1 '14,0
OPPO,Q2 '14,0
OPPO,Q3 '14,0
OPPO,Q4 '14,0
OPPO,Q1 '15,2.2
OPPO,Q2 '15,2.8
OPPO,Q3 '15,3.2
OPPO,Q4 '15,3.6
OPPO,Q1 '16,5.9
OPPO,Q2 '16,6.6
OPPO,Q3 '16,7.1
OPPO,Q4 '16,7.3
OPPO,Q1 '17,7.5
OPPO,Q2 '17,8
OPPO,Q3 '17,8.1
OPPO,Q4 '17,6.9
OPPO,Q1 '18,7.4
OPPO,Q2 '18,8.6
OPPO,Q3 '18,8.4
OPPO,Q4 '18,7.8
OPPO,Q1 '19,7.4
OPPO,Q2 '19,8.9
Lenovo,Q4 '09,0
Lenovo,Q1 '10,0
Lenovo,Q2 '10,0
Lenovo,Q3 '10,0
Lenovo,Q4 '10,0
Lenovo,Q1 '11,0
Lenovo,Q2 '11,0
Lenovo,Q3 '11,0
Lenovo,Q4 '11,0
Lenovo,Q1 '12,0
Lenovo,Q2 '12,3.1
Lenovo,Q3 '12,3.7
Lenovo,Q4 '12,4.1
Lenovo,Q1 '13,3.6
Lenovo,Q2 '13,4.7
Lenovo,Q3 '13,4.7
Lenovo,Q4 '13,4.51
Lenovo,Q1 '14,4.4
Lenovo,Q2 '14,5.2
