Brand,Quarter,Market Share
Samsung,Q4 '09,0.033
Samsung,Q1 '10,0.043
Samsung,Q2 '10,0.056
Samsung,Q3 '10,0.088
Samsung,Q4 '10,0.094
Samsung,Q1 '11,0.113
Samsung,Q2 '11,0.17
Samsung,Q3 '11,0.227
Samsung,Q4 '11,0.225
Samsung,Q1 '12,0.288
Samsung,Q2 '12,0.322
Samsung,Q3 '12,0.31
Samsung,Q4 '12,0.291
Samsung,Q1 '13,0.319
Samsung,Q2 '13,0.323
Samsung,Q3 '13,0.325
Samsung,Q4 '13,0.2883
Samsung,Q1 '14,0.307
Samsung,Q2 '14,0.248
Samsung,Q3 '14,0.239
Samsung,Q4 '14,0.199
Samsung,Q1 '15,0.246
Samsung,Q2 '15,0.213
Samsung,Q3 '15,0.233
Samsung,Q4 '15,0.204
Samsung,Q1 '16,0.238
Samsung,Q2 '16,0.227
Samsung,Q3 '16,0.209
Samsung,Q4 '16,0.18
Samsung,Q1 '17,0.233
Samsung,Q2 '17,0.229
Samsung,Q3 '17,0.221
Samsung,Q4 '17,0.189
Samsung,Q1 '18,0.235
Samsung,Q2 '18,0.21
Samsung,Q3 '18,0.203
Samsung,Q4 '18,0.187
Samsung,Q1 '19,0.231
Samsung,Q2 '19,0.227
Apple,Q4 '09,0.161
Apple,Q1 '10,0.157
Apple,Q2 '10,0.13
Apple,Q3 '10,0.17
Apple,Q4 '10,0.159
Apple,Q1 '11,0.183
Apple,Q2 '11,0.188
Apple,Q3 '11,0.138
Apple,Q4 '11,0.23
Apple,Q1 '12,0.23
Apple,Q2 '12,0.166
Apple,Q3 '12,0.144
Apple,Q4 '12,0.209
Apple,Q1 '13,0.171
Apple,Q2 '13,0.13
Apple,Q3 '13,0.129
Apple,Q4 '13,0.1743
Apple,Q1 '14,0.152
Apple,Q2 '14,0.117
Apple,Q3 '14,0.118
Apple,Q4 '14,0.197
Apple,Q1 '15,0.183
Apple,Q2 '15,0.139
Apple,Q3 '15,0.134
Apple,Q4 '15,0.187
Apple,Q1 '16,0.154
Apple,Q2 '16,0.117
Apple,Q3 '16,0.125
Apple,Q4 '16,0.182
Apple,Q1 '17,0.147
Apple,Q2 '17,0.118
Apple,Q3 '17,0.124
Apple,Q4 '17,0.196
Apple,Q1 '18,0.157
Apple,Q2 '18,0.121
Apple,Q3 '18,0.132
Apple,Q4 '18,0.182
Apple,Q1 '19,0.117
Apple,Q2 '19,0.101
Huawei,Q4 '09,0
Huawei,Q1 '10,0
Huawei,Q2 '10,0
Huawei,Q3 '10,0
Huawei,Q4 '10,0
Huawei,Q1 '11,0
Huawei,Q2 '11,0
Huawei,Q3 '11,0
Huawei,Q4 '11,0.035
Huawei,Q1 '12,0.033
Huawei,Q2 '12,0.041
Huawei,Q3 '12,0.038
Huawei,Q4 '12,0.046
Huawei,Q1 '13,0.043
Huawei,Q2 '13,0.043
Huawei,Q3 '13,0.048
Huawei,Q4 '13,0.0566
Huawei,Q1 '14,0.047
Huawei,Q2 '14,0.067
Huawei,Q3 '14,0.05
Huawei,Q4 '14,0.063
Huawei,Q1 '15,0.052
Huawei,Q2 '15,0.086
Huawei,Q3 '15,0.076
Huawei,Q4 '15,0.082
Huawei,Q1 '16,0.084
Huawei,Q2 '16,0.093
Huawei,Q3 '16,0.093
Huawei,Q4 '16,0.105
Huawei,Q1 '17,0.1
Huawei,Q2 '17,0.11
Huawei,Q3 '17,0.104
Huawei,Q4 '17,0.107
Huawei,Q1 '18,0.118
Huawei,Q2 '18,0.159
Huawei,Q3 '18,0.146
Huawei,Q4 '18,0.161
Huawei,Q1 '19,0.19
Huawei,Q2 '19,0.176
Xiaomi,Q4 '09,0
Xiaomi,Q1 '10,0
Xiaomi,Q2 '10,0
Xiaomi,Q3 '10,0
Xiaomi,Q4 '10,0
Xiaomi,Q1 '11,0
Xiaomi,Q2 '11,0
Xiaomi,Q3 '11,0
Xiaomi,Q4 '11,0
Xiaomi,Q1 '12,0
Xiaomi,Q2 '12,0
Xiaomi,Q3 '12,0
Xiaomi,Q4 '12,0
Xiaomi,Q1 '13,0
Xiaomi,Q2 '13,0
Xiaomi,Q3 '13,0.021
Xiaomi,Q4 '13,0.0203
Xiaomi,Q1 '14,0
Xiaomi,Q2 '14,0.046
Xiaomi,Q3 '14,0.052
Xiaomi,Q4 '14,0.044
Xiaomi,Q1 '15,0
Xiaomi,Q2 '15,0.053
Xiaomi,Q3 '15,0.052
Xiaomi,Q4 '15,0.046
Xiaomi,Q1 '16,0
Xiaomi,Q2 '16,0.039
Xiaomi,Q3 '16,0.037
Xiaomi,Q4 '16,0.033
Xiaomi,Q1 '17,0.043
Xiaomi,Q2 '17,0.062
Xiaomi,Q3 '17,0.075
Xiaomi,Q4 '17,0.071
Xiaomi,Q1 '18,0.084
Xiaomi,Q2 '18,0.095
Xiaomi,Q3 '18,0.097
Xiaomi,Q4 '18,0.076
Xiaomi,Q1 '19,0.08
Xiaomi,Q2 '19,0.097
OPPO,Q4 '09,0
OPPO,Q1 '10,0
OPPO,Q2 '10,0
OPPO,Q3 '10,0
OPPO,Q4 '10,0
OPPO,Q1 '11,0
OPPO,Q2 '11,0
OPPO,Q3 '11,0
OPPO,Q4 '11,0
OPPO,Q1 '12,0
OPPO,Q2 '12,0
OPPO,Q3 '12,0
OPPO,Q4 '12,0
OPPO,Q1 '13,0
OPPO,Q2 '13,0
OPPO,Q3 '13,0
OPPO,Q4 '13,0
OPPO,Q1 '14,0
OPPO,Q2 '14,0
OPPO,Q3 '14,0
OPPO,Q4 '14,0
OPPO,Q1 '15,0.022
OPPO,Q2 '15,0.028
OPPO,Q3 '15,0.032
OPPO,Q4 '15,0.036
OPPO,Q1 '16,0.059
OPPO,Q2 '16,0.066
OPPO,Q3 '16,0.071
OPPO,Q4 '16,0.073
OPPO,Q1 '17,0.075
OPPO,Q2 '17,0.08
OPPO,Q3 '17,0.081
OPPO,Q4 '17,0.069
OPPO,Q1 '18,0.074
OPPO,Q2 '18,0.086
OPPO,Q3 '18,0.084
OPPO,Q4 '18,0.078
OPPO,Q1 '19,0.074
OPPO,Q2 '19,0.089
LG,Q4 '09,0
LG,Q1 '10,0
LG,Q2 '10,0
LG,Q3 '10,0
LG,Q4 '10,0
LG,Q1 '11,0
LG,Q2 '11,0
LG,Q3 '11,0
LG,Q4 '11,0
LG,Q1 '12,0.032
LG,Q2 '12,0.037
LG,Q3 '12,0.038
LG,Q4 '12,0.038
LG,Q1 '13,0.047
LG,Q2 '13,0.05
LG,Q3 '13,0.046
LG,Q4 '13,0.046
LG,Q1 '14,0.043
LG,Q2 '14,0.049
LG,Q3 '14,0.051
LG,Q4 '14,0
LG,Q1 '15,0.046
LG,Q2 '15,0
LG,Q3 '15,0
LG,Q4 '15,0
LG,Q1 '16,0
LG,Q2 '16,0
LG,Q3 '16,0
LG,Q4 '16,0
LG,Q1 '17,0
LG,Q2 '17,0
LG,Q3 '17,0
LG,Q4 '17,0
LG,Q1 '18,0
LG,Q2 '18,0
LG,Q3 '18,0
LG,Q4 '18,0
LG,Q1 '19,0
LG,Q2 '19,0
Lenovo,Q4 '09,0
Lenovo,Q1 '10,0
Lenovo,Q2 '10,0
Lenovo,Q3 '10,0
Lenovo,Q4 '10,0
Lenovo,Q1 '11,0
Lenovo,Q2 '11,0
Lenovo,Q3 '11,0
Lenovo,Q4 '11,0
Lenovo,Q1 '12,0
Lenovo,Q2 '12,0.031
Lenovo,Q3 '12,0.037
Lenovo,Q4 '12,0.041
Lenovo,Q1 '13,0.036
Lenovo,Q2 '13,0.047
Lenovo,Q3 '13,0.047
Lenovo,Q4 '13,0.0451
Lenovo,Q1 '14,0.044
Lenovo,Q2 '14,0.052
Lenovo,Q3 '14,0.051
Lenovo,Q4 '14,0.037
Lenovo,Q1 '15,0.056
Lenovo,Q2 '15,0.048
Lenovo,Q3 '15,0.053
Lenovo,Q4 '15,0.051
Lenovo,Q1 '16,0
Lenovo,Q2 '16,0
Lenovo,Q3 '16,0
Lenovo,Q4 '16,0
Lenovo,Q1 '17,0
Lenovo,Q2 '17,0
Lenovo,Q3 '17,0
Lenovo,Q4 '17,0
Lenovo,Q1 '18,0
Lenovo,Q2 '18,0
Lenovo,Q3 '18,0
Lenovo,Q4 '18,0
Lenovo,Q1 '19,0
Lenovo,Q2 '19,0
ZTE,Q4 '09,0
ZTE,Q1 '10,0
ZTE,Q2 '10,0
ZTE,Q3 '10,0
ZTE,Q4 '10,0
ZTE,Q1 '11,0
ZTE,Q2 '11,0.018
ZTE,Q3 '11,0.033
ZTE,Q4 '11,0.04
ZTE,Q1 '12,0.04
ZTE,Q2 '12,0.041
ZTE,Q3 '12,0.044
ZTE,Q4 '12,0.044
ZTE,Q1 '13,0.042
ZTE,Q2 '13,0.042
ZTE,Q3 '13,0
ZTE,Q4 '13,0
ZTE,Q1 '14,0
ZTE,Q2 '14,0
ZTE,Q3 '14,0
ZTE,Q4 '14,0
ZTE,Q1 '15,0
ZTE,Q2 '15,0
ZTE,Q3 '15,0
ZTE,Q4 '15,0
ZTE,Q1 '16,0
ZTE,Q2 '16,0
ZTE,Q3 '16,0
ZTE,Q4 '16,0
ZTE,Q1 '17,0
ZTE,Q2 '17,0
ZTE,Q3 '17,0
ZTE,Q4 '17,0
ZTE,Q1 '18,0
ZTE,Q2 '18,0
ZTE,Q3 '18,0
ZTE,Q4 '18,0
ZTE,Q1 '19,0
ZTE,Q2 '19,0
vivo,Q4 '09,0
vivo,Q1 '10,0
vivo,Q2 '10,0
vivo,Q3 '10,0
vivo,Q4 '10,0
vivo,Q1 '11,0
vivo,Q2 '11,0
